,links,title,status,category,summary
0,https://www.thehindu.com/news/national/kerala/kerala-to-hand-over-ivory-deer-horns-to-army-establishments/article67741275.ece,"Kerala to hand over ivory, deer horns to Army establishments",0,Default,"#### Summary:

The Kerala Government has granted a request from two Indian Army establishments to obtain elephant tusks and deer horns for safekeeping. The Pangode Military Station and Grenadiers RC will receive 10 pairs each of elephant tusks, deer horns, and mounts/horns, while the Second Battalion of Madras Regiment will receive three pairs each of elephant tusks and deer antlers. The trophies will be kept under the safe custody of the Army establishments and are not to be displayed, modified, or transferred. This request comes at a time when the Union Ministry of Environment, Forest and Climate Change has proposed the incineration of wildlife trophies and discouraged their display [[1]](https://www.thehindu.com/news/cities/Kochi/army-establishments-seek-ivory-for-safe-custody-from-kerala/article67726953.ece)."
1,https://www.thehindu.com/news/national/telangana/seven-flights-diverted-to-hyderabad-airport-as-major-indian-cities-battle-heavy-fog/article67742644.ece,Seven flights diverted to Hyderabad airport as major Indian cities battle heavy fog,0,Default,"#### Summary:

Persistent fog across the nation disrupted air travel on Monday, leading to the diversion, delay, or cancellation of numerous flights due to poor visibility and unfavorable weather conditions. Hyderabad's Rajiv Gandhi International Airport (RGIA) emerged as a diversion hub for several airlines. As of Monday morning, seven flights, including four international ones, were diverted to Hyderabad. The diversions included four flights from Kolkata's Netaji Subhas Chandra International Airport, two from Chennai International Airport, and one from Delhi's Indira Gandhi International Airport [[1]](https://www.thehindu.com/news/national/telangana/seven-flights-diverted-to-hyderabad-airport-as-major-indian-cities-battle-heavy-fog/article67742644.ece).

#### Flight Diversions:

Several flights were diverted to Hyderabad's Rajiv Gandhi International Airport due to the persistent fog and unfavorable weather conditions. The flights rerouted from Kolkata included AIX Connect's I5 992 and I5 558 bound from Bengaluru's Kempegowda International Airport, Vistara Air's UK 727 from Delhi, and SpiceJet's SG 517 from Bengaluru. Additionally, IndiGo's flight 6E 1002 from Singapore's Changi Airport heading to Chennai was redirected to Hyderabad, and British Airways BA 035 from London's Heathrow Airport to Chennai experienced a similar fate. The sole diversion from Delhi was Egypt Air's flight MS 973 from Cairo International Airport to Delhi, which was rerouted to Hyderabad.

#### Impact on Flight Operations:

The adverse weather conditions in other cities contributed to numerous flight delays and cancellations at GMR Hyderabad International Airport. The disruptions caused flight delays and diversions, with a total of 37 flights being canceled and numerous others experiencing delays and diversions due to the unfavorable conditions. IndiGo airlines had the highest number of cancellations, with 30 flights affected. Other airlines, including Air India, Air Asia, Alliance Air, and SpiceJet, also had flights canceled or delayed. The disrupted routes primarily included flights to and from Chennai [[7]](https://www.thehindu.com/news/national/telangana/cyclone-michaung-causes-flight-disruptions-at-hyderabad-airport/article67603629.ece).

#### Compensation for Flight Disruptions:

Passengers may be entitled to compensation or ticket reimbursement in the event of flight delays, cancellations, or overbooking. However, compensation for flight disruptions due to bad weather is subject to certain conditions. Under EU Regulation 261, passengers can usually claim compensation for bad weather-related flight disruptions if the flight took off from a European airport or was operated by a European airline and landed in the European Union [[3]](https://www.flightright.co.uk/your-rights/bad-weather).

#### Conclusion:

Persistent fog and unfavorable weather conditions led to the diversion, delay, and cancellation of numerous flights across the nation. Hyderabad's Rajiv Gandhi International Airport served as a diversion hub for several airlines. Passengers affected by flight disruptions due to bad weather may be eligible for compensation, subject to certain conditions."
2,https://www.thehindu.com/news/national/army-personnel-pillars-of-strength-resilience-pm-modi-on-army-day/article67742637.ece,"Army personnel pillars of strength, resilience: PM Modi on Army Day",0,Default,"#### Summary of Prime Minister Narendra Modi's Message on Army Day

Prime Minister Narendra Modi praised the commitment, courage, and sacrifices of Indian Army personnel on Army Day, emphasizing their unwavering dedication to protecting the nation and upholding its sovereignty. He referred to them as pillars of strength and resilience, acknowledging their crucial role in safeguarding the country. The Army Day is observed on January 15 to commemorate the first Indian Commander-in-Chief of the Indian Army, General K.M. Cariappa, who later became a Field Marshal [[1]](https://www.thehindu.com/news/national/army-personnel-pillars-of-strength-resilience-pm-modi-on-army-day/article67742637.ece) [[2]](https://www.moneycontrol.com/news/india/army-personnel-pillars-of-strength-resilience-pm-modi-on-army-day-12052531.html).

#### Additional Information
The President, who is the Supreme Commander of the Armed Forces, also extended warm felicitations to the Indian Army on the occasion of Army Day 2024, saluting the sacrifice of bravehearts who laid down their lives for the nation [[4]](https://news.webindia123.com/news/Articles/India/20240115/4158946.html). Additionally, the significance of Army Day lies in marking the anniversary of Lieutenant General K.M. Cariappa taking the responsibility of the Commander-in-Chief in 1949 [[7]](https://www.ketto.org/blog/indian-army-day)."
3,https://www.thehindu.com/news/national/other-states/65-lakh-pilgrims-visit-ganga-sagar-mela-says-wb-govt/article67741393.ece,65 lakh pilgrims visit Ganga Sagar Mela says W.B. govt,0,Default,"#### Summary:

Approximately 6.5 million pilgrims from across the country visited Sagar Island in West Bengal to take a holy dip at the confluence of the Ganga River and the Bay of Bengal during the Ganga Sagar Mela. The West Bengal government has been promoting religious tourism as a priority sector, leading to a rise in pilgrims and visitors to every religious pilgrimage in the state. The annual pilgrimage started on January 8 and concluded on January 17, with the auspicious timing for the holy dip being from 00:13 hrs on January 15 to 00:13 hrs on January 16. Elaborate security arrangements were made, including 14,000 police personnel, 1,150 closed-circuit television cameras, 12 drones, and 45 watchtowers. Pilgrims were ferried to Sagar Island through 36 vessels, 100 launches, and six barges across 22 jetties. Despite claims by the state government of providing enough arrangements and night shelters for pilgrims, some people were seen sleeping in the open on the mela grounds. The West Bengal government has demanded 'national fair' status for the Gangasagar Mela, similar to the Kumbh Mela. The projected budget for the mela this year is Rs 250 crore, and the state government stated that the center is not contributing any funds. Around 250 people have been arrested for involvement in various illegal activities, including pickpocketing. Two deaths have been reported, and six people have been airlifted to hospitals in Kolkata."
4,https://www.thehindu.com/news/morning-digest-january-15-2024/article67741660.ece,"Morning Digest | President Murmu on 3-day visit to Meghalaya, Assam from today; Modi to release first instalment of PM-JANMAN scheme for pucca homes to one lakh beneficiaries, and more",0,Default,"#### Summary of Morning Digest - January 15, 2024

The morning digest of January 15, 2024, includes various significant stories:

#### President Murmu's Visit to Meghalaya and Assam
- President Droupadi Murmu is scheduled to visit Meghalaya and Assam from January 15 to 17.

#### Modi's Release of PM-JANMAN Scheme Funds
- Prime Minister Narendra Modi is set to release \u20b9540 crore, the first instalment of funding, for pucca homes under the Pradhan Mantri Awas Yojana-Gramin (PMAY-G) to one lakh Particularly Vulnerable Tribal Group (PVTG) beneficiary families as part of the recently-launched PM-JANMAN package for the overall development of PVTG habitations [[2]](https://www.thehindu.com/news/national/modi-releases-first-instalment-of-pm-janman-scheme-for-pucca-homes-to-one-lakh-beneficiaries/article67740889.ece) [[3]](https://www.thehindu.com/newsletter/the-morning-brew/here-are-the-latest-updates-and-the-big-news-stories-to-follow-today/article67741446.ece).

#### Other Notable Stories
- There are reports of new investments sliding 46% in Q3, with manufacturing and infrastructure outlays shrinking.
- Delhi schools will commence classes from 9 am onwards due to cold weather conditions.
- India's hockey team secured a 3-1 win against New Zealand, keeping their Olympic hopes alive.

These are some of the key stories from the morning digest of January 15, 2024."
5,https://www.thehindu.com/news/national/kerala/government-should-support-paddy-rubber-farmers-infarm/article67740642.ece,"Government should support paddy, rubber farmers: Infarm",0,Default,"#### Summary of Indian Farmers' Movement (Infarm) Statement

The Indian Farmers\u2019 Movement (Infarm), represented by the Kerala Catholic Bishops\u2019 Council, has criticized the government for plunging paddy farmers into debt and failing to provide support for them. Infarm chairman Bishop Remigius Inchinaniyil issued a circular demanding urgent action from the government to fulfill the promised rubber price and clear pending welfare pension payments for farmers. Additionally, the bishop alleged encroachment of agricultural land by the Forest department and called for the issuance of licenses to kill wild animals causing crop damage on agricultural land.

**Key Points:**
- The Indian Farmers' Movement criticizes the government for debt and lack of support for paddy farmers in Kochi [[1]](https://www.thehindu.com/news/national/kerala/government-should-support-paddy-rubber-farmers-infarm/article67740642.ece).

This statement reflects the concerns and demands of the Infarm regarding the welfare and rights of farmers in Kerala, highlighting the challenges they face and the support they seek from the government."
6,https://www.thehindu.com/news/national/maharashtra-speakers-decision-conflicts-with-sc-ruling-on-factions/article67741107.ece,Maharashtra Speaker’s decision conflicts with SC ruling on factions,0,Default,"#### Summary of Maharashtra Speaker's Decision and SC Ruling on Factions

The Maharashtra Speaker's decision regarding the ""real"" Shiv Sena party conflicts with a Supreme Court judgment. The Speaker based their decision on the ""legislative majority"" held by the faction led by Chief Minister Eknath Shinde, claiming that they were the ""real"" Shiv Sena. However, a Constitution Bench of the Supreme Court, led by Chief Justice of India D.Y. Chandrachud, directed in a May 2023 judgment that the Speaker must not base their decision solely on which group possesses a majority in the Legislative Assembly. The court emphasized that the determination of the real party goes beyond numbers and includes the structure of leadership outside the legislative assembly. The court also clarified that the strength in numbers of a faction is irrelevant if the legislators are found guilty of defection by splitting the party, and they would be disqualified under the Tenth Schedule (anti-defection law) of the Constitution. The Constitution (Ninety-first Amendment) Act, 2003 deleted the provision of 'split' in Paragraph 3 of the Tenth Schedule, making the defense of a split no longer available to members facing disqualification proceedings [[1]](https://www.thehindu.com/news/national/maharashtra-speakers-decision-conflicts-with-sc-ruling-on-factions/article67741107.ece).

The Supreme Court had set a deadline for the Maharashtra Speaker to decide on disqualification pleas related to the split in the NCP by January 31, 2024, emphasizing the importance of maintaining the sanctity of the Tenth Schedule. The court had also questioned the Speaker's delay in adjudicating the disqualification petitions and urged the Speaker to fulfill their responsibilities in a timely manner [[3]](https://www.thehindu.com/news/national/sc-sets-deadline-for-maharashtra-assembly-speaker-to-decide-on-disqualification-petitions/article67475881.ece) [[6]](https://www.hindustantimes.com/india-news/shiv-sena-disqualification-pleas-rahul-narwekar-eknath-shinde-mlas-supreme-court-101698651340396.html) [[7]](https://indianexpress.com/article/india/sc-sets-december-31-deadline-for-maharashtra-speaker-to-decide-on-disqualification-pleas-against-shinde-faction-9005866/)."
7,https://www.thehindu.com/news/national/other-states/last-batch-of-mizoram-bru-refugees-permanently-settled-in-tripura/article67740680.ece,Last batch of Mizoram Bru refugees permanently settled in Tripura,0,Default,"The Tripura government has allocated land for the rehabilitation of the last batch of Mizoram Bru refugees, who were granted permanent settlement in Tripura through a Home Ministry-initiated quadripartite agreement signed on January 16, 2020. The agreement aimed to permanently settle a total of 6,959 Bru tribe families comprising 37,136 persons in 12 different locations across four districts in Tripura.

The settlement process has now been completed with the identification and allocation of land for the final group of refugees. The 12th settlement colony has been established in Laugangsom, located in the Santirbazar subdivision in south Tripura district. This colony will accommodate 633 Bru families and will be spread over an area of 30 hectares that was previously unused. Basic amenities such as electricity, drinking water, and other civic facilities are currently being provided at the site.

In addition to land allocation, the refugees are receiving monthly rations, household items, and a stipend as per the quadripartite agreement signed by the Ministry of Home Affairs (MHA) and the governments of Tripura and Mizoram with the representatives of the Bru refugees. The MHA has allocated \u20b9661 crore for the implementation of this agreement.

It is worth noting that the Bru refugees fled ethnic tensions in Mizoram in October 1997 and have been living in sub-human conditions in tents in Tripura. The quadripartite agreement aims to provide a permanent solution to their displacement and improve their living conditions [[5]](https://www.thehindu.com/news/national/other-states/displaced-bru-tribals-from-mizoram-to-permanently-settle-in-tripura/article61643819.ece).

Overall, the Tripura government has allocated land for the final group of Mizoram Bru refugees, completing the settlement process as per the quadripartite agreement. The refugees are receiving basic amenities, monthly support, and other provisions to facilitate their permanent settlement in Tripura [[1]](https://www.thehindu.com/news/national/other-states/last-batch-of-mizoram-bru-refugees-permanently-settled-in-tripura/article67740680.ece)."
8,https://www.thehindu.com/news/national/other-states/days-after-infants-death-mp-cm-seeks-suggestions-to-curb-stray-dog-menace/article67740859.ece,"Days after infant’s death, M.P. CM seeks suggestions to curb stray dog menace",0,Default,"#### Summary of the Incident

On January 10, a tragic incident occurred in Bhopal, Madhya Pradesh, where a seven-month-old boy was mauled to death by a pack of stray dogs in the Ayodhya Nagar area. The incident was captured in a viral video, showing the gruesome attack that resulted in the severing of the child's arm. The child's family, who are laborers from Guna district, held the last rites on Wednesday itself. Madhya Pradesh Chief Minister Mohan Yadav expressed grief over the incident and directed officials to provide financial assistance worth Rs 4 lakh to the bereaved family. Following this tragic event, the Chief Minister sought suggestions from the public to address the issue of stray dog attacks and prevent similar incidents in the future [[1]](https://www.indiatoday.in/india/madhya-pradesh/story/madhya-pradesh-stray-dog-attack-infant-death-chief-minister-mohan-yadav-2488554-2024-01-14).

#### Measures Taken and Ongoing Actions

In response to the incident, the Bhopal Municipal Corporation caught eight stray dogs from Ayodhya Nagar, and the Collector directed a campaign to catch such animals. Additionally, the Chief Minister directed officials to seek suggestions from the people to take appropriate measures to prevent similar incidents. The body of the child was exhumed and sent for post-mortem examination on Saturday. The Ayodhya Nagar inspector, Mahesh Nilhare, reported that the child's mother had placed him on the ground to work nearby when the pack of dogs attacked him. The police and administration were alerted to the incident after the video went viral on social media [[1]](https://www.indiatoday.in/india/madhya-pradesh/story/madhya-pradesh-stray-dog-attack-infant-death-chief-minister-mohan-yadav-2488554-2024-01-14) [[4]](https://indianexpress.com/article/india/infant-mauled-to-death-by-dogs-mp-cm-seeks-peoples-suggestions-to-prevent-such-incidents-9108815/) [[7]](https://www.telegraphindia.com/feeds/india/seven-month-old-boy-mauled-to-death-by-stray-dogs-in-madhya-pradeshs-bhopal/cid/1993503).

#### Conclusion

The tragic incident of the seven-month-old boy being mauled to death by stray dogs in Bhopal has prompted the Chief Minister to take immediate action, including providing financial assistance to the family and seeking suggestions from the public to prevent similar incidents. The local authorities have also taken steps to catch stray dogs in the area and investigate the circumstances surrounding the attack."
9,https://www.thehindu.com/news/national/nominations-invited-for-first-ever-rashtriya-vigyan-puraskar/article67741646.ece,Nominations invited for first-ever 'Rashtriya Vigyan Puraskar',0,Default,"#### Summary of Rashtriya Vigyan Puraskar

The government has called for nominations for the Rashtriya Vigyan Puraskar, the first-ever national science award, which aims to recognize notable and inspiring contributions made by scientists, technologists, and innovators individually or in teams across various fields of science, technology, and technology-led innovation. The awards were instituted last year after scrapping more than 300 awards given by different institutions. The Rashtriya Vigyan Puraskar is set to be one of the highest recognitions in the field of science, technology, and innovation in India [[1]](https://www.indiatoday.in/science/story/rashtriya-vigyan-puraskar-all-you-need-to-know-about-the-new-science-awards-2438688-2023-09-21).

#### Award Categories and Criteria
The awards will be given across four categories: Vigyan Ratna (VR), Vigyan Shri (VS), Vigyan Yuva: Shanti Swarup Bhatnagar (VY-SSB), and Vigyan Team (VT). A total of 56 awards will be given in thirteen domains, including physics, chemistry, biological sciences, mathematics and computer science, earth science, medicine, engineering sciences, agricultural science, environmental science, technology and innovation, atomic energy, space science and technology. The awards will not be conferred posthumously, except in ""highly deserving cases"" [[3]](https://currentaffairs.adda247.com/government-comes-out-with-a-new-set-of-national-awards-known-as-rashtriya-vigyan-puraskar/).

#### Eligibility and Recognition
The Rashtriya Vigyan Puraskar is open to scientists, technologists, and innovators working in various sectors, including government and private organizations. Individuals of Indian origin residing abroad who have significantly benefited Indian communities or society as a whole are also eligible for these prestigious awards. The awards aim to recognize distinguished contributions through path-breaking research, innovation, or discovery in any field of science, technology, or technology-led innovation. Gender parity is also a crucial aspect, ensuring representation from each field [[3]](https://currentaffairs.adda247.com/government-comes-out-with-a-new-set-of-national-awards-known-as-rashtriya-vigyan-puraskar/).

#### Timeline and Announcement
The last date for filing nominations is February 28, and the awards will be announced on May 11, National Technology Day. The awards will be conferred on August 23, National Space Day, to commemorate Chandrayaan-3 mission's soft landing on the moon.

#### Conclusion
The Rashtriya Vigyan Puraskar is a significant initiative by the government to recognize and encourage exceptional contributions in the field of science, technology, and innovation in India. It encompasses a wide range of scientific and technological domains and aims to honor both lifetime achievements and distinguished contributions by young scientists and teams."
